Time,Open,High,Low,Last,Change,Volume,"Open Int"
02/07/2020,387.85,389.71,384.67,386.19,-1,0,0
02/06/2020,386.27,392.13,383.7,387.19,0.92000000000002,0,0
02/05/2020,380.32,390.24,380.32,386.27,5.95,0,0
02/04/2020,381.34,388,380.04,380.32,-1.02,0,0
02/03/2020,388.8,389.36,380.12,381.34,-7.46,0,0
01/31/2020,392.01,396.96,386.86,388.8,-3.21,0,0
01/30/2020,398.74,398.74,390.01,392.01,-6.73,0,0
01/29/2020,400.39,403.98,397.5,398.74,-1.65,0,0
01/28/2020,398.33,402.31,395.57,400.39,2.06,0,0
01/27/2020,406.26,406.26,395.78,398.33,-7.93,0,0
01/24/2020,413.64,415.11,405.08,406.26,-7.38,0,0
01/23/2020,418.52,418.52,410.7,413.64,-4.88,0,0
01/22/2020,425.14,425.25,417.7,418.52,-6.62,0,0
01/21/2020,426.91,428.31,423.08,425.14,-1.77,0,0
01/17/2020,425.84,427.66,425.13,426.91,1.0700000000001,0,0
01/16/2020,425.45,427.74,424.27,425.84,0.38999999999999,0,0
01/15/2020,427.71,428.43,423.99,425.45,-2.26,0,0
01/14/2020,426.38,429.52,424.73,427.71,1.44,0,0
01/13/2020,430.16,430.78,425.3,426.27,-3.84,0,0
01/10/2020,430.65,432.03,428.99,430.11,-0.49000000000001,0,0
01/09/2020,431.08,433.27,427.64,430.6,-0.42999999999995,0,0
01/08/2020,442.35,453.16,429.14,431.03,-11.32,0,0
01/07/2020,444.62,444.62,439.8,442.35,-2.27,0,0
01/06/2020,443.34,451.06,443.15,444.62,1.28,0,0
01/03/2020,436.81,448.18,436.81,443.34,6.53,0,0
01/02/2020,436.21,438.34,434.9,436.81,0.60000000000002,0,0
12/31/2019,439.57,440.2,435.27,436.21,-3.36,0,0
12/30/2019,440.27,443.33,437.09,439.57,-0.69999999999999,0,0
12/27/2019,439.69,441.16,438.64,440.27,0.57999999999998,0,0
12/26/2019,435.98,439.98,435.95,439.69,3.71,0,0
12/24/2019,433.03,436.5,432.99,435.98,2.95,0,0
12/23/2019,433.29,434,431.52,433.03,-0.26000000000005,0,0
12/20/2019,434.96,435.81,431.88,433.29,-1.67,0,0
12/19/2019,433.1,435.78,432.74,434.96,1.86,0,0
12/18/2019,433.8,434.34,431.09,433.1,-0.69999999999999,0,0
12/17/2019,431.09,434.3,430.29,433.8,2.71,0,0
12/16/2019,428.05,431.95,427.15,431.09,3.04,0,0
12/13/2019,423.64,430.98,423.64,428.05,4.41,0,0
12/12/2019,420.11,425.64,420.11,423.64,3.37,0,0
12/11/2019,423.03,423.03,417.92,420.27,-2.93,0,0
12/10/2019,421.45,424.05,419.68,423.2,1.56,0,0
12/09/2019,422.51,422.61,418.93,421.64,-1.09,0,0
12/06/2019,419.45,425.37,417.3,422.73,3.08,0,0
12/05/2019,418.74,422.28,417.84,419.65,0.90999999999997,0,0
12/04/2019,410.74,419.82,410.74,418.74,8,0,0
